ACCOUNT NUMBER,DATE,DESCRIPTION,debit_clean,credit_clean,balance_clean,Amount,Z_score,LeadingDigit,Rounded,Precision,Mean,Median,StdDev,K_means Cluster,Cluster Label,Weekend,Holiday,EvenDollar
,2024-06-22,Work invite podcast guest Soho house,100.0,,2855.38,100.0,2.03,1,True,0.0,23.77,14.99,37.58,1,Medium,True,False,False
,2024-06-25,Work Lunch Deliveroo,12.97,,2868.35,12.97,-0.29,1,False,0.9700000000000006,23.77,14.99,37.58,0,Low,False,False,False
,2024-06-25,Work invite podcast guest Soho house,166.0,,3034.35,166.0,3.79,1,True,0.0,23.77,14.99,37.58,1,Medium,False,False,False
,2024-06-26,Work Lunch Deliveroo,20.96,,3055.31,20.96,-0.07,2,False,0.9600000000000009,23.77,14.99,37.58,0,Low,False,False,False
,2024-06-26,Work Lunch Laderach,3.17,,3058.48,3.17,-0.55,3,False,0.16999999999999993,23.77,14.99,37.58,0,Low,False,False,False
,2024-06-27,Work Lunch Deliveroo,16.92,,3075.4,16.92,-0.18,1,False,0.9200000000000017,23.77,14.99,37.58,0,Low,False,False,False
,2024-06-28,Work Lunch Deliveroo,16.76,,3092.16,16.76,-0.19,1,False,0.7600000000000016,23.77,14.99,37.58,0,Low,False,False,False
,2024-06-29,Work Lunch Deliveroo,16.19,,3108.35,16.19,-0.2,1,False,0.19000000000000128,23.77,14.99,37.58,0,Low,True,False,False
,2024-06-30,Work Lunch Deliveroo,35.31,,3143.66,35.31,0.31,3,False,0.3100000000000023,23.77,14.99,37.58,0,Low,True,False,False
,2024-07-04,Work Lunch Deliveroo,17.81,,3161.47,17.81,-0.16,1,False,0.8099999999999987,23.77,14.99,37.58,0,Low,False,False,False
,2024-07-06,Work Lunch Deliveroo,25.2,,3186.67,25.2,0.04,2,False,0.1999999999999993,23.77,14.99,37.58,0,Low,True,False,False
,2024-07-08,Work Lunch Deliveroo,4.88,,3191.55,4.88,-0.5,4,False,0.8799999999999999,23.77,14.99,37.58,0,Low,False,False,False
,2024-07-09,Work Lunch Deliveroo,9.15,,3200.7,9.15,-0.39,9,False,0.15000000000000036,23.77,14.99,37.58,0,Low,False,False,False
,2024-07-11,Work Lunch Deliveroo,18.02,,3218.72,18.02,-0.15,1,False,0.019999999999999574,23.77,14.99,37.58,0,Low,False,False,False
,2024-07-12,Big Client Potential,412.54,,3631.26,412.54,10.37,4,False,0.5400000000000205,23.77,14.99,37.58,2,High,False,False,False
,2024-07-12,Work Lunch Deliveroo,34.59,,3665.85,34.59,0.29,3,False,0.5900000000000034,23.77,14.99,37.58,0,Low,False,False,False
,2024-07-13,Work Dinner Deliveroo,20.92,,3686.77,20.92,-0.08,2,False,0.9200000000000017,23.77,14.99,37.58,0,Low,True,False,False
,2024-07-13,Work Lunch Deliveroo,22.58,,3709.35,22.58,-0.03,2,False,0.5799999999999983,23.77,14.99,37.58,0,Low,True,False,False
,2024-07-14,Work Lunch Deliveroo,10.12,,3719.47,10.12,-0.36,1,False,0.11999999999999922,23.77,14.99,37.58,0,Low,True,False,False
,2024-07-16,Work Lunch Deliveroo,20.99,,3740.46,20.99,-0.07,2,False,0.9899999999999984,23.77,14.99,37.58,0,Low,False,False,False
,2024-07-20,Work Lunch Deliveroo,29.71,,3770.17,29.71,0.16,2,False,0.7100000000000009,23.77,14.99,37.58,0,Low,True,False,False
,2024-08-19,Itsu Lunch,6.75,,3776.92,6.75,-0.45,6,False,0.75,23.77,14.99,37.58,0,Low,False,False,False
,2024-08-21,Soho Home Coffee with Omar,11.5,,3788.42,11.5,-0.33,1,False,0.5,23.77,14.99,37.58,0,Low,False,False,False
,2024-08-25,Deliveroo Lunch,10.75,,3799.17,10.75,-0.35,1,False,0.75,23.77,14.99,37.58,0,Low,True,False,False
,2024-08-26,JJ Lunch,9.6,,3808.77,9.6,-0.38,9,False,0.5999999999999996,23.77,14.99,37.58,0,Low,False,False,False
