DATE,DESCRIPTION,AMOUNT,Anomaly Flags,Is High Risk?,Is selected for Sampling
2024-11-20,Itsu,9.90,,FALSE,FALSE
2024-11-23,Itsu,1.99,Weekend,TRUE,FALSE
2024-11-23,Itsu,4.94,Weekend,TRUE,FALSE
2024-11-25,Itsu,2.95,,FALSE,FALSE
2024-11-25,Lionsprep,35.90,,FALSE,FALSE
2024-11-26,Deliveroo,21.77,,FALSE,FALSE
2024-11-26,Deliveroo,13.97,,FALSE,FALSE
2024-11-27,Itsu,8.94,,FALSE,FALSE
2024-11-28,Itsu,2.94,,FALSE,FALSE
2024-11-28,Coffee,3.95,,FALSE,FALSE
2024-11-30,Deliveroo,2.97,Weekend,TRUE,FALSE
2024-11-30,UberEats,11.17,Weekend,TRUE,FALSE
2024-12-01,Venchi,10.00,Rounded True,TRUE,FALSE
2024-12-02,Paul,3.00,Rounded True,TRUE,FALSE
2024-12-03,Bleecker -  Invite Client,26.55,,FALSE,FALSE
2024-12-03,Itsu,9.90,,FALSE,FALSE
2024-12-03,Vita -  Invite Client,18.60,,FALSE,FALSE
2024-12-05,Deliveroo,24.31,,FALSE,FALSE
2024-12-06,Deliveroo,20.64,,FALSE,FALSE
2024-12-06,SnS -  Invite Client,31.39,,FALSE,FALSE
2024-12-08,Pret,7.30,Weekend,TRUE,FALSE
2024-12-12,Deliveroo,13.99,,FALSE,FALSE
2024-12-13,Deliveroo,16.71,,FALSE,FALSE
2024-12-13,Deliveroo,16.19,,FALSE,FALSE
2024-12-14,SnS -  Invite Client,77.89,Weekend,TRUE,FALSE
2024-12-16,Itsu,9.90,,FALSE,FALSE
2024-12-16,Lunch,21.34,,FALSE,FALSE
2024-12-16,Deliveroo,14.99,,FALSE,FALSE
2024-12-17,Deliveroo,16.49,,FALSE,FALSE
2024-12-19,Deliveroo,10.70,,FALSE,FALSE
2024-12-20,Deliveroo,20.14,,FALSE,FALSE
2024-12-22,Deliveroo,26.49,Weekend,TRUE,FALSE
2024-12-28,Deliveroo,23.52,Weekend,TRUE,FALSE
2024-12-28,Deliveroo,18.45,Weekend,TRUE,FALSE
2024-12-29,Deliveroo,13.34,Weekend,TRUE,FALSE
2024-12-30,Itsu,9.90,,FALSE,FALSE
